Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42
Tracks 1 to 42
20,796.14703,87.67647, ,106.7,95.5, ,1256.7858,100.67857, ,1438.2,103.8, ,693.9375,102.3125, ,1400.1471,171.97058, ,438.91666,171.66667, ,1161.1666,206.33333, ,1053.9872,242.44872, ,1149.2778,285.72223, ,1014.13635,302.77274, ,564.2241,530.9138, ,329.1,565.2714, ,1033.2963,752.8333, ,806.8333,736.43335, ,1153.8334,912.64813, ,772.2414,243.74138, ,489.8871,445.24194, ,667.3125,200.0625, ,847.7162,241.12163, ,1008.0143,343.44287, ,442.0,518.0, ,482.92856,614.3214, ,1296.5,1000.7105, ,976.9237,407.97458, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,797.0625,86.875, ,106.388885,95.27778, ,1257.3334,100.75, ,1438.3182,103.954544, ,688.9792,100.479164, ,1400.5,174.0, ,438.63513,167.66216, ,1161.0,206.0, ,1058.8784,235.14865, ,1153.3055,284.58334, ,1021.0,299.20587, ,561.569,530.87933, ,326.14285,564.9048, ,1036.8623,751.6449, ,805.76666,732.06665, ,1151.6852,908.2407, ,772.04285,242.72858, ,491.1129,449.75806, ,666.7857,199.07143, ,846.4459,235.44595, ,1016.19446,346.69446, ,436.83334,512.6852, ,480.19232,613.7308, ,1296.75,994.25, ,976.03705,405.68518, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,796.3125,88.6875, ,106.375,95.375, ,1257.4565,100.71739, ,1438.3182,103.954544, ,689.94183,102.058136, ,1401.1316,170.97368, ,437.10526,166.02632, ,1161.3889,206.16667, ,1060.55,235.8, ,1152.6842,280.8158, ,1016.0135,300.04053, ,559.9667,527.2, ,324.83334,559.1042, ,1037.1809,752.0319, ,806.5333,732.4, ,1145.6923,911.3077, ,771.9231,242.48077, ,490.22415,448.8793, ,666.5,200.33333, ,848.8333,233.14102, ,1011.80304,338.07574, ,437.0,511.0, ,479.38,614.78, ,1297.079,996.3947, ,974.5893,404.01785, ,1295.4032,367.0484, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,797.25,88.916664, ,106.86364,95.40909, ,1257.3462,101.07692, ,1438.2273,104.22727, ,697.76086,103.26087, ,1398.6578,168.02632, ,442.93243,163.90541, ,1161.4166,206.66667, ,1065.4744,237.01282, ,1147.378,285.18292, ,1018.9545,298.07574, ,557.30646,528.0806, ,322.96155,559.60254, ,1040.8684,743.9035, ,803.35187,732.0926, ,1144.8914,904.413, ,771.7833,242.16667, ,490.5,451.96667, ,666.1667,199.1, ,843.7308,230.67949, ,1005.7222,341.55554, ,433.45,516.1, ,476.5,621.7692, ,1290.45,994.6, ,973.60345,405.44827, ,1293.8529,366.52942, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,796.4375,87.875, ,106.9,95.3, ,1257.6364,100.77273, ,1438.0,103.5, ,699.25,111.55, ,1399.0,165.75, ,446.33334,163.44444, ,1161.5,206.5, ,1064.2812,240.75, ,1147.1136,280.0, ,1023.3421,295.07895, ,557.6667,525.06665, ,327.23334,557.36664, ,1040.2885,737.5, ,805.4286,726.7857, ,1151.3667,909.4, ,772.65686,242.00981, ,493.3,448.93332, ,666.25,199.91667, ,842.0,234.0, ,1010.55554,343.41666, ,442.83334,514.375, ,476.26923,619.1923, ,1288.6904,996.5476, ,972.4836,402.5164, ,1290.85,369.575, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,796.5,88.125, ,106.7,95.5, ,1256.6428,100.78571, ,1438.25,104.083336, ,695.62195,108.79269, ,1402.5625,164.8125, ,444.8889,165.97223, ,1160.7858,206.5, ,1061.0555,245.13889, ,1149.1511,288.26746, ,1024.5605,294.83334, ,556.39655,529.9828, ,324.93182,554.9318, ,1039.6207,738.7414, ,806.7857,723.6071, ,1153.326,915.1957, ,771.46875,242.65625, ,492.14517,447.30646, ,667.0,200.5, ,837.525,231.825, ,1007.0789,345.55264, ,446.79166,514.0, ,472.5909,614.7727, ,1295.4445,1000.6111, ,974.7453,405.04718, ,1292.9138,367.9138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,792.8099,83.52817,*,106.86364,95.40909, ,1257.5416,100.916664, ,1438.3182,103.954544, ,692.0854,107.96342, ,1397.6765,168.73529, ,447.63513,173.90541, ,1161.0,207.16667, ,1059.3975,245.5, ,1149.1578,290.07895, ,1021.96155,293.73077, ,555.2241,531.87933, ,327.0306,553.7449, ,1037.3154,733.9923, ,807.25,722.7143, ,1152.2097,917.24194, ,772.64703,243.29411, ,500.43332,442.26666, ,667.1,198.9, ,838.5526,228.60527, ,1000.7162,350.25674, ,450.22,509.02, ,471.98148,618.6111, ,1297.7778,999.3889, ,974.9918,410.2869, ,1293.6765,365.11765, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,795.5,88.0, ,106.916664,95.25, ,1257.7858,100.78571, ,1438.0454,103.681816, ,689.64636,105.939026, ,1394.75,172.95, ,454.3,170.98572, ,1161.5,206.3, ,1061.8549,241.17741, ,1153.6052,287.26315, ,1017.6842,291.3684, ,554.86664,532.86664, ,328.71622,552.9595, ,1044.85,730.8, ,807.25,720.7143, ,1148.2826,918.587, ,772.413,244.41304, ,505.39285,440.5, ,667.5,198.44118, ,842.3378,224.14865, ,1005.1842,343.55264, ,446.67856,505.10715, ,473.4394,623.8333, ,1299.3667,994.0333, ,973.4107,408.55356, ,1292.1177,367.08823, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,797.08826,88.382355, ,107.0,95.5, ,1257.1666,101.041664, ,1438.1364,104.40909, ,692.87836,102.63513, ,1395.7609,173.89131, ,457.1216,165.7973, ,1161.3,206.8, ,1061.3788,246.56061, ,1151.9324,287.04053, ,1023.6429,295.1, ,560.1129,528.75806, ,323.09375,551.0625, ,1050.138,726.069, ,806.6786,724.2857, ,1147.3182,921.0, ,771.7857,242.84694, ,510.1,437.76666, ,667.15,198.4, ,844.17566,220.98648, ,1008.30554,348.69446, ,448.9138,504.94827, ,478.80768,621.5769, ,1296.125,990.3125, ,978.4048,409.00793, ,1294.9117,367.91177, ,1254.0,371.46875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,795.8158,88.76316, ,106.8,95.3, ,1256.625,100.708336, ,1438.2,103.8, ,693.0714,99.809525, ,1401.5476,172.21428, ,456.41428,167.1, ,1161.5,206.5, ,1064.2273,241.80302, ,1152.4722,281.47223, ,1026.975,294.575, ,561.86664,525.86664, ,322.45557,550.1445, ,1047.0714,722.5635, ,801.3077,720.9231, ,1144.7727,920.9091, ,772.05316,242.84042, ,509.14517,436.6613, ,667.1111,199.16667, ,846.5,221.5, ,1009.1486,353.3919, ,445.0,503.5, ,478.94827,623.15515, ,1302.9667,993.8333, ,976.5484,407.17743, ,1297.0312,367.03125, ,1256.7759,369.22415, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
