Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60
Tracks 1 to 60
20,1158.3182,177.36363,*,1083.3966,301.63794, ,1225.7245,409.58163, ,1346.881,517.9286, ,762.4,494.88, ,810.0319,561.28723, ,464.28946,670.6579, ,640.9722,667.44446, ,746.31396,801.6163, ,831.2879,253.31818, ,557.01514,123.893936, ,631.7917,495.45834, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,1154.9333,179.66667, ,1086.4131,303.67392, ,1226.1,411.1, ,1353.6111,521.1111, ,764.6,489.12, ,806.54443,564.76666, ,462.81708,671.6707, ,634.0946,666.6892, ,748.3409,799.9318, ,831.55554,257.58334, ,553.80304,122.59091, ,638.3182,493.5303, ,729.6111,660.2222, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,1155.4474,179.55263, ,1085.262,303.6905, ,1219.0333,414.63333, ,1352.2,523.8, ,765.19385,489.15308, ,805.0217,562.6739, ,462.625,671.59375, ,634.5,664.3205, ,750.0349,791.2907, ,831.4211,258.1316, ,548.4032,118.69355, ,633.32855,489.52856, ,727.0,660.375, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,1158.5769,180.96153,*,1086.6538,297.15384, ,1222.0769,412.57693, ,1357.921,522.0789, ,768.6,486.12, ,801.26086,562.34784, ,460.85294,673.7941, ,627.425,660.375, ,746.1042,789.6042, ,833.44116,261.67648, ,545.28125,118.4375, ,630.3333,490.2619, ,721.0,659.21875, ,704.14703,356.79413, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,1160.4062,179.125,*,1088.375,297.5, ,1223.3909,411.6091,*,1355.7106,521.9737, ,767.86,480.08, ,798.31396,561.98834, ,461.92105,672.9474, ,626.6429,663.5, ,745.9091,780.7045, ,831.60254,263.57693, ,545.3387,119.53226, ,630.1667,484.7564, ,722.5,654.7857, ,703.4211,354.4737, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,1160.8549,176.37097, ,1091.3334,297.94446, ,1222.8889,410.16666, ,1360.7106,522.7105, ,768.4184,477.76532, ,794.01166,558.6395, ,467.34375,669.71875, ,620.7,661.4143, ,750.4,778.425, ,834.825,264.525, ,546.1111,119.638885, ,627.8684,482.0263, ,723.95715,656.4143, ,702.36957,354.02173, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,1161.5,175.5,*,1089.2368,292.6579, ,1224.9166,413.8125, ,1367.5,525.6429, ,771.14,480.24, ,790.31396,559.01166, ,473.43332,671.26666, ,614.725,654.075, ,755.975,775.275, ,829.8421,268.44736, ,543.6667,122.76667, ,626.5,481.0, ,727.80304,655.5, ,704.6957,348.13043, ,1072.7439,916.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,1160.8846,177.03847, ,1085.55,296.2, ,1227.3,409.36, ,1365.5,525.0294, ,775.6042,477.97916, ,794.0909,557.9318, ,472.33334,674.86664, ,618.525,647.0, ,759.025,773.45, ,829.9375,268.15625, ,538.46295,127.53704, ,624.94446,481.6111, ,736.7889,652.94446, ,704.3409,346.18182, ,1075.7439,915.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,1164.7667,183.61667,*,1085.9117,300.08823, ,1225.4584,405.1875, ,1367.0714,525.6429, ,777.43335,475.05554, ,791.47675,558.6163, ,478.04544,674.1061, ,614.7647,647.4706, ,755.86365,772.6591, ,828.52856,268.92856, ,537.3276,131.94827, ,624.3333,486.66666, ,734.6087,659.86957, ,704.03845,350.91025, ,1077.25,913.55554, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,1165.58,189.82,*,1085.7084,300.79166, ,1228.4111,406.94446, ,1362.2333,527.9, ,779.6,480.12, ,792.4091,559.7727, ,472.28787,676.1061, ,621.94446,643.6389, ,758.75,781.7955, ,829.6579,267.76315, ,537.3077,133.8077, ,624.7069,485.7414, ,733.4792,662.125, ,700.0641,355.42307, ,1076.0555,913.2222, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
