Time,IR,Red,Green,Blue
8.76,405941,353547,524287,424877
8.78,406066,353636,524287,424975
8.8,406054,353635,524287,425043
8.82,405986,353620,524287,425092
8.84,405907,353511,524287,425102
8.86,405801,353432,524287,425051
8.88,405645,353365,524287,424931
8.9,405548,353363,524287,424780
8.92,405525,353337,524287,424656
8.94,405533,353417,524287,424667
8.96,405561,353422,524287,424593
8.98,405718,353451,524287,424663
9,405822,353507,524287,424723
9.02,405976,353617,524287,424812
9.04,406086,353619,524287,424972
9.06,406137,353668,524287,425039
9.08,406168,353676,524287,425208
9.1,406261,353712,524287,425347
9.12,406325,353697,524287,425342
9.14,406442,353826,524287,425431
9.16,406574,353859,524287,425568
9.18,406641,353936,524287,425631
9.2,406668,353964,524287,425618
9.22,406586,353936,524287,425630
9.24,406593,353967,524287,425579
9.26,406558,353955,524287,425481
9.28,406561,353937,524287,425361
9.3,406443,353952,524287,425227
9.32,406381,353826,524287,425050
9.34,406178,353762,524287,424790
9.36,405778,353499,524287,424380
9.38,405111,353177,524287,423670
9.4,404232,352688,524287,422614
9.42,403280,352260,524287,421215
9.44,402442,351826,524287,419649
9.46,401759,351560,524287,418191
9.48,401399,351419,524287,417027
9.5,401147,351335,524287,416061
9.52,401002,351262,524287,415278
9.54,401029,351329,524287,414681
9.56,401107,351353,524287,414266
9.58,401243,351462,524287,414052
9.6,401235,351485,524287,413819
9.62,401225,351456,524287,413660
9.64,401082,351382,524287,413304
9.66,400845,351211,524287,412879
9.68,400531,351050,524287,412337
9.7,400297,350943,524287,411732
9.72,400115,350796,524287,411098
9.74,399881,350700,524287,410501
9.76,399650,350658,524287,409932
9.78,399518,350645,524287,409399
9.8,399519,350610,524287,408953
9.82,399462,350572,524287,408692
9.84,399416,350620,524287,408485
9.86,399435,350550,524287,408284
9.88,399482,350582,524287,408084
9.9,399534,350599,524287,407956
9.92,399704,350716,524287,407851
9.94,399880,350750,524287,407807
9.96,400094,350919,524287,407805
9.98,400434,351064,524287,407983
10,400829,351266,524287,408149
10.02,401321,351471,524287,408431
10.04,401840,351707,524287,408792
10.06,402319,351968,524287,409219
10.08,402773,352095,524287,409689
10.1,403134,352241,524287,410169
10.12,403528,352416,524287,410641
10.14,403925,352631,524287,411140
10.16,404427,352851,524287,411595
10.18,404656,352941,524287,411982
10.2,404595,352937,524287,412255
10.22,404543,352839,524287,412404
10.24,404595,352873,524287,412497
10.26,404869,352930,524287,412580
10.28,405171,353105,524287,412792
10.3,405531,353303,524287,413118
10.32,405881,353424,524287,413371
10.34,406168,353536,524287,413722
10.36,406522,353735,524287,414175
10.38,407031,353996,524287,414563
10.4,407482,354197,524287,415015
10.42,407799,354242,524287,415462
10.44,408072,354374,524287,415973
10.46,408244,354491,524287,416340
10.48,408288,354435,524287,416634
10.5,408301,354463,524287,416934
10.52,408424,354490,524287,417251
10.54,408635,354587,524287,417574
10.56,408958,354744,524287,417986
10.58,409315,354890,524287,418448
10.6,409676,355091,524287,418879
10.62,410040,355269,524287,419326
10.64,410431,355474,524287,419777
10.66,410886,355634,524287,420238
10.68,411183,355773,524287,420659
10.7,411426,355894,524287,421025
10.72,411570,355943,524287,421417
10.74,411719,355994,524287,421781
10.76,411820,355980,524287,422113
10.78,411917,356067,524287,422437
10.8,412027,356078,524287,422761
10.82,411973,356008,524287,423080
10.84,411949,356033,524287,423341
10.86,411944,355960,524287,423631
10.88,411972,356031,524287,423869
10.9,412001,355968,524287,424153
10.92,412027,356017,524287,424362
10.94,412077,356053,524287,424691
10.96,412151,356059,524287,424921
10.98,412074,355975,524287,425124
11,411629,355699,524287,425290
11.02,410936,355258,524287,425307
11.04,409923,354722,524287,425215
11.06,409149,354267,524287,424997
11.08,408661,354030,524287,424792
11.1,408391,353892,524287,424616
11.12,408358,353920,524287,424473
11.14,408506,353995,524287,424415
11.16,408519,353985,524287,424342
11.18,408531,353995,524287,424407
11.2,408667,354089,524287,424445
11.22,408747,354147,524287,424598
11.24,408905,354216,524287,424737
11.26,408915,354234,524287,424841
11.28,408816,354170,524287,424958
11.3,408654,354075,524287,425008
11.32,408603,354007,524287,425058
11.34,408586,354023,524287,425074
11.36,408626,354028,524287,425093
11.38,408545,354028,524287,425181
11.4,408613,354092,524287,425212
11.42,408713,354146,524287,425393
11.44,408835,354182,524287,425504
11.46,408942,354259,524287,425666
11.48,409135,354340,524287,425856
11.5,409236,354351,524287,425977
11.52,409371,354437,524287,426185
11.54,409652,354568,524287,426377
11.56,410054,354843,524287,426654
11.58,410471,355109,524287,426919
11.6,410789,355253,524287,427242
11.62,411029,355327,524287,427462
11.64,411281,355483,524287,427689
11.66,411616,355665,524287,427929
11.68,411902,355855,524287,428235
11.7,412131,355975,524287,428453
11.72,412293,356013,524287,428674
11.74,412271,355998,524287,428902
11.76,412179,355929,524287,429112
11.78,411932,355688,524287,429212
11.8,411235,355348,524287,429176
11.82,410108,354658,524287,428948
11.84,409053,354179,524287,428559
11.86,408373,353783,524287,428062
11.88,407867,353522,524287,427454
11.9,407484,353384,524287,426900
11.92,407354,353284,524287,426371
11.94,407302,353255,524287,426000
11.96,407317,353300,524287,425796
11.98,407456,353395,524287,425704
12,407574,353418,524287,425705
12.02,407677,353479,524287,425781
12.04,407829,353572,524287,425814
12.06,407830,353588,524287,425828
12.08,407607,353488,524287,425838
12.1,407379,353333,524287,425739
12.12,407215,353229,524287,425691
12.14,407162,353195,524287,425565
12.16,407169,353203,524287,425516
12.18,407113,353201,524287,425498
12.2,407166,353219,524287,425517
12.22,407238,353247,524287,425567
12.24,407424,353330,524287,425626
12.26,407553,353406,524287,425785
12.28,407679,353512,524287,425955
12.3,407802,353537,524287,426088
12.32,407903,353567,524287,426232
12.34,408040,353684,524287,426417
12.36,408284,353798,524287,426623
12.38,408503,353930,524287,426787
12.4,408664,353984,524287,427046
12.42,408852,354037,524287,427197
12.44,409011,354142,524287,427462
12.46,409191,354215,524287,427728
12.48,409468,354357,524287,427988
